Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Senegal,0.04 ,0.03 , 0.06,,0.05 ,0.03 , 0.07,,0.06 ,0.04 , 0.08,,0.07 ,0.05 , 0.10,,0.09 ,0.06 , 0.12,,0.10 ,0.08 , 0.13,,0.12 ,0.09 , 0.15,,0.14 ,0.11 , 0.18,,0.16 ,0.13 , 0.20,,0.18 ,0.15 , 0.22,,0.20 ,0.17 , 0.25,,0.23 ,0.19 , 0.27,,0.25 ,0.21 , 0.30,,0.27 ,0.22 , 0.32,,0.28 ,0.24 , 0.34,,0.30 ,0.25 , 0.36,,0.31 ,0.26 , 0.37,,0.29 ,0.25 , 0.35,,0.19 ,0.15 , 0.23,,0.16 ,0.13 , 0.20,,0.16 ,0.12 , 0.20,,0.16 ,0.12 , 0.20,,0.16 ,0.12 , 0.20,,0.16 ,0.13 , 0.21,,0.16 ,0.13 , 0.21,,0.15 ,0.11 , 0.18,,0.13 ,0.10 , 0.16,,0.12 ,0.09 , 0.14,,0.10 ,0.08 , 0.12,,0.08 ,0.06 , 0.10,,0.07 ,0.05 , 0.08,
Serbia,<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",0.01 ,0.01 , 0.01,"Children estimates were not available at the time of publication.",0.01 ,0.01 , 0.01,"Children estimates were not available at the time of publication.",0.01 ,0.01 , 0.01,"Children estimates were not available at the time of publication.",0.01 ,0.01 , 0.01,"Children estimates were not available at the time of publication.",0.01 ,0.01 , 0.01,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication."
Sierra Leone,0.17 ,0.06 , 0.33,,0.22 ,0.09 , 0.39,,0.26 ,0.12 , 0.45,,0.32 ,0.15 , 0.53,,0.37 ,0.18 , 0.60,,0.43 ,0.21 , 0.66,,0.49 ,0.27 , 0.72,,0.54 ,0.33 , 0.77,,0.60 ,0.39 , 0.83,,0.64 ,0.45 , 0.88,,0.69 ,0.50 , 0.92,,0.73 ,0.54 , 0.95,,0.76 ,0.59 , 0.99,,0.79 ,0.62 , 1.01,,0.81 ,0.65 , 1.03,,0.83 ,0.67 , 1.04,,0.82 ,0.68 , 1.01,,0.81 ,0.68 , 1.00,,0.79 ,0.66 , 0.97,,0.75 ,0.63 , 0.92,,0.69 ,0.57 , 0.85,,0.64 ,0.53 , 0.79,,0.59 ,0.49 , 0.73,,0.58 ,0.48 , 0.70,,0.59 ,0.49 , 0.70,,0.58 ,0.49 , 0.69,,0.56 ,0.47 , 0.66,,0.52 ,0.43 , 0.61,,0.47 ,0.38 , 0.55,,0.43 ,0.36 , 0.51,,0.41 ,0.34 , 0.48,
Singapore,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication."
Slovakia,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Slovenia,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Somalia,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.02,,0.01 ,<0.01 , 0.02,,0.02 ,0.01 , 0.03,,0.02 ,0.02 , 0.03,,0.03 ,0.02 , 0.04,,0.03 ,0.02 , 0.04,,0.04 ,0.03 , 0.05,,0.04 ,0.03 , 0.06,,0.05 ,0.04 , 0.07,,0.06 ,0.05 , 0.07,,0.07 ,0.05 , 0.08,,0.07 ,0.06 , 0.09,,0.08 ,0.07 , 0.10,,0.09 ,0.07 , 0.10,,0.09 ,0.08 , 0.11,,0.09 ,0.08 , 0.11,,0.09 ,0.08 , 0.11,,0.09 ,0.08 , 0.10,,0.09 ,0.07 , 0.10,,0.08 ,0.07 , 0.09,,0.08 ,0.06 , 0.09,,0.07 ,0.06 , 0.08,,0.07 ,0.06 , 0.08,,0.06 ,0.05 , 0.07,,0.05 ,0.05 , 0.06,,0.05 ,0.04 , 0.06,,0.04 ,0.03 , 0.05,,0.04 ,0.03 , 0.04,,0.03 ,0.02 , 0.04,,0.03 ,0.02 , 0.03,
South Africa,0.10 ,0.06 , 0.15,,0.15 ,0.08 , 0.23,,0.24 ,0.13 , 0.37,,0.38 ,0.20 , 0.59,,0.57 ,0.30 , 0.90,,0.82 ,0.44 , 1.31,,1.14 ,0.62 , 1.83,,1.51 ,0.83 , 2.42,,1.95 ,1.10 , 3.09,,2.44 ,1.36 , 3.78,,2.96 ,1.65 , 4.53,,3.47 ,1.92 , 5.22,,3.97 ,2.15 , 5.85,,4.49 ,2.42 , 6.51,,5.01 ,2.73 , 7.22,,5.42 ,2.95 , 7.76,,5.60 ,3.05 , 8.07,,5.22 ,2.76 , 7.63,,4.50 ,2.25 , 6.70,,3.78 ,1.77 , 5.83,,3.24 ,1.42 , 5.21,,2.82 ,1.20 , 4.70,,2.37 ,0.96 , 4.09,,2.05 ,0.81 , 3.62,,1.83 ,0.75 , 3.32,,1.70 ,0.74 , 3.13,,1.62 ,0.75 , 3.01,,1.57 ,0.76 , 2.90,,1.51 ,0.74 , 2.78,,1.45 ,0.73 , 2.71,,1.41 ,0.72 , 2.61,
South Sudan,0.14 ,0.04 , 0.30,,0.18 ,0.06 , 0.37,,0.23 ,0.08 , 0.45,,0.28 ,0.11 , 0.51,,0.34 ,0.14 , 0.58,,0.40 ,0.17 , 0.67,,0.46 ,0.22 , 0.75,,0.52 ,0.27 , 0.85,,0.59 ,0.31 , 0.93,,0.65 ,0.36 , 1.00,,0.71 ,0.43 , 1.08,,0.76 ,0.48 , 1.12,,0.81 ,0.52 , 1.17,,0.85 ,0.57 , 1.21,,0.89 ,0.58 , 1.24,,0.92 ,0.61 , 1.26,,0.94 ,0.64 , 1.28,,0.96 ,0.67 , 1.30,,0.97 ,0.68 , 1.28,,0.96 ,0.69 , 1.26,,0.93 ,0.66 , 1.23,,0.93 ,0.66 , 1.22,,0.91 ,0.67 , 1.19,,0.90 ,0.67 , 1.17,,0.86 ,0.63 , 1.13,,0.81 ,0.58 , 1.07,,0.75 ,0.53 , 1.01,,0.76 ,0.52 , 1.01,,0.73 ,0.50 , 0.98,,0.69 ,0.47 , 0.94,,0.68 ,0.46 , 0.94,
Spain,0.06 ,0.05 , 0.07,"Children estimates were not available at the time of publication.",0.07 ,0.06 , 0.09,"Children estimates were not available at the time of publication.",0.09 ,0.07 , 0.11,"Children estimates were not available at the time of publication.",0.11 ,0.09 , 0.13,"Children estimates were not available at the time of publication.",0.12 ,0.10 , 0.15,"Children estimates were not available at the time of publication.",0.14 ,0.12 , 0.17,"Children estimates were not available at the time of publication.",0.14 ,0.12 , 0.17,"Children estimates were not available at the time of publication.",0.08 ,0.06 , 0.10,"Children estimates were not available at the time of publication.",0.06 ,0.05 , 0.08,"Children estimates were not available at the time of publication.",0.05 ,0.04 , 0.07,"Children estimates were not available at the time of publication.",0.05 ,0.04 , 0.06,"Children estimates were not available at the time of publication.",0.04 ,0.03 , 0.06,"Children estimates were not available at the time of publication.",0.04 ,0.03 , 0.05,"Children estimates were not available at the time of publication.",0.04 ,0.03 , 0.05,"Children estimates were not available at the time of publication.",0.04 ,0.03 , 0.05,"Children estimates were not available at the time of publication.",0.04 ,0.03 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.03 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.02,"Children estimates were not available at the time of publication."
Sri Lanka,<0.01,,,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,0.01 ,<0.01 , 0.01,,0.01 ,<0.01 , 0.01,,0.01 ,<0.01 , 0.01,,0.01 ,<0.01 , 0.01,,0.01 ,0.01 , 0.01,,0.01 ,<0.01 , 0.01,,0.01 ,<0.01 , 0.01,,0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,
Sudan,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.02,,<0.01 ,<0.01 , 0.02,,<0.01 ,<0.01 , 0.03,,0.01 ,<0.01 , 0.04,,0.02 ,<0.01 , 0.06,,0.02 ,<0.01 , 0.07,,0.03 ,<0.01 , 0.08,,0.04 ,0.01 , 0.09,,0.05 ,0.01 , 0.10,,0.06 ,0.02 , 0.11,,0.06 ,0.02 , 0.11,,0.07 ,0.03 , 0.12,,0.08 ,0.03 , 0.12,,0.08 ,0.04 , 0.12,,0.09 ,0.05 , 0.12,,0.09 ,0.05 , 0.12,,0.09 ,0.06 , 0.12,,0.08 ,0.05 , 0.10,,0.07 ,0.05 , 0.09,,0.07 ,0.05 , 0.09,,0.08 ,0.06 , 0.10,,0.08 ,0.07 , 0.10,,0.08 ,0.06 , 0.09,,0.07 ,0.06 , 0.09,,0.07 ,0.06 , 0.09,,0.06 ,0.05 , 0.08,,0.06 ,0.05 , 0.08,,0.05 ,0.04 , 0.07,,0.05 ,0.04 , 0.07,
Suriname,0.04 ,0.02 , 0.08,,0.05 ,0.03 , 0.10,,0.07 ,0.04 , 0.13,,0.08 ,0.05 , 0.17,,0.10 ,0.06 , 0.21,,0.13 ,0.08 , 0.25,,0.15 ,0.09 , 0.29,,0.18 ,0.11 , 0.34,,0.21 ,0.14 , 0.38,,0.25 ,0.16 , 0.43,,0.29 ,0.19 , 0.47,,0.33 ,0.22 , 0.51,,0.37 ,0.26 , 0.54,,0.38 ,0.27 , 0.53,,0.37 ,0.26 , 0.50,,0.36 ,0.27 , 0.49,,0.35 ,0.26 , 0.48,,0.33 ,0.24 , 0.45,,0.30 ,0.22 , 0.41,,0.28 ,0.21 , 0.39,,0.28 ,0.21 , 0.40,,0.28 ,0.21 , 0.39,,0.27 ,0.20 , 0.37,,0.23 ,0.17 , 0.31,,0.21 ,0.16 , 0.29,,0.20 ,0.14 , 0.29,,0.20 ,0.14 , 0.29,,0.18 ,0.13 , 0.27,,0.18 ,0.12 , 0.28,,0.18 ,0.12 , 0.28,,0.20 ,0.13 , 0.33,
Sweden,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Switzerland,0.08 ,0.07 , 0.09,"Children estimates were not available at the time of publication.",0.10 ,0.09 , 0.11,"Children estimates were not available at the time of publication.",0.11 ,0.10 , 0.13,"Children estimates were not available at the time of publication.",0.13 ,0.11 , 0.14,"Children estimates were not available at the time of publication.",0.14 ,0.12 , 0.15,"Children estimates were not available at the time of publication.",0.14 ,0.13 , 0.16,"Children estimates were not available at the time of publication.",0.14 ,0.13 , 0.16,"Children estimates were not available at the time of publication.",0.11 ,0.09 , 0.13,"Children estimates were not available at the time of publication.",0.09 ,0.07 , 0.10,"Children estimates were not available at the time of publication.",0.07 ,0.06 , 0.09,"Children estimates were not available at the time of publication.",0.06 ,0.05 , 0.08,"Children estimates were not available at the time of publication.",0.05 ,0.04 , 0.06,"Children estimates were not available at the time of publication.",0.04 ,0.04 , 0.06,"Children estimates were not available at the time of publication.",0.04 ,0.03 , 0.05,"Children estimates were not available at the time of publication.",0.03 ,0.03 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.02,"Children estimates were not available at the time of publication."
Syrian Arab Republic,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,
Tajikistan,<0.01,,,,<0.01,,,,<0.01,,,,<0.01,,,,<0.01,,,,<0.01,,,,<0.01,,,,<0.01,,,,<0.01,,,,<0.01,,,,<0.01,,,,<0.01,,,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , 0.01,,0.01 ,0.01 , 0.02,,0.02 ,0.02 , 0.02,,0.02 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,,0.03 ,0.03 , 0.03,,0.03 ,0.03 , 0.03,,0.03 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,,0.03 ,0.03 , 0.03,,0.03 ,0.02 , 0.03,
Thailand,0.02 ,0.01 , 0.02,,0.05 ,0.04 , 0.06,,0.10 ,0.09 , 0.12,,0.17 ,0.15 , 0.20,,0.25 ,0.21 , 0.29,,0.34 ,0.29 , 0.39,,0.43 ,0.37 , 0.50,,0.53 ,0.46 , 0.60,,0.62 ,0.54 , 0.71,,0.71 ,0.62 , 0.80,,0.78 ,0.69 , 0.89,,0.85 ,0.74 , 0.96,,0.88 ,0.77 , 0.99,,0.88 ,0.76 , 1.00,,0.84 ,0.73 , 0.96,,0.73 ,0.61 , 0.85,,0.59 ,0.48 , 0.71,,0.52 ,0.41 , 0.65,,0.49 ,0.38 , 0.61,,0.46 ,0.35 , 0.57,,0.43 ,0.33 , 0.54,,0.40 ,0.31 , 0.50,,0.37 ,0.28 , 0.47,,0.36 ,0.28 , 0.45,,0.34 ,0.26 , 0.43,,0.32 ,0.25 , 0.40,,0.30 ,0.24 , 0.37,,0.27 ,0.21 , 0.33,,0.23 ,0.19 , 0.29,,0.20 ,0.16 , 0.25,,0.17 ,0.14 , 0.22,
Timor-Leste,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.02,,<0.01 ,<0.01 , 0.02,,<0.01 ,<0.01 , 0.02,,0.01 ,<0.01 , 0.02,,0.01 ,<0.01 , 0.02,,0.01 ,<0.01 , 0.02,,0.01 ,<0.01 , 0.03,,0.02 ,<0.01 , 0.03,,0.02 ,<0.01 , 0.03,,0.02 ,<0.01 , 0.03,,0.02 ,<0.01 , 0.03,,0.02 ,0.01 , 0.03,,0.02 ,<0.01 , 0.03,,0.02 ,0.01 , 0.03,,0.02 ,0.01 , 0.03,,0.02 ,0.01 , 0.04,,0.02 ,0.01 , 0.04,,0.02 ,0.01 , 0.03,,0.02 ,0.01 , 0.04,,0.02 ,0.01 , 0.03,,0.02 ,0.01 , 0.03,,0.02 ,0.01 , 0.03,,0.02 ,0.01 , 0.03,,0.02 ,<0.01 , 0.02,
